indicator	type	source	first_seen	last_seen	confidence	tlp	tags	reference	context
199[.]45[.]154[.]138	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]154[.]139	ipv4	greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,greensnow	https://greensnow.co/	Blocklist entry from greensnow_blocklist
199[.]45[.]154[.]140	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]154[.]141	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]154[.]142	ipv4	blocklist_de_ssh,ci_army_list	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,cins,scanner,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]154[.]144	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]154[.]151	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]154	ipv4	blocklist_de_ssh,ci_army_list	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,cins,scanner,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]154[.]156	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]154[.]159	ipv4	blocklist_de_ssh,ci_army_list	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,cins,scanner,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]45[.]154[.]176	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]179	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]180	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]181	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]182	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]184	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]186	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]188	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]189	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]190	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]191	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]155[.]100	ipv4	greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,greensnow	https://greensnow.co/	Blocklist entry from greensnow_blocklist
199[.]45[.]155[.]104	ipv4	blocklist_de_ssh,ci_army_list	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,cins,scanner,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
